Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date,Age,Customer_Type,City,Region,Bank_Name,Branch_ID,Firm_Revenue,Expenses,Profit_Margin,Investment_Level
204700.0,Current,57622.0,4676.0,11260.0,Fixed Deposit,2024-04-05,54.0,Individual,Kolhapur,East,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,Faible
204624.0,,50221.5058,2542.708056138517,25550.2484,,,75.0,,Kolhapur,West,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,
201489.0,,50221.5058,2542.708056138517,25550.2484,,,41.0,Employee,Nashik,South,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,
205772.0,Current,26773.0,2924.0,9480.0,Recurring Deposit,2025-02-14,57.0,Individual,Nashik,West,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,Faible
205772.0,Current,31080.0,780.0,8956.0,Fixed Deposit,2022-11-07,57.0,Individual,Nashik,West,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,Faible
205772.0,Business,61386.0,3988.0,19907.0,Mutual Fund,2023-05-03,57.0,Individual,Nashik,West,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,Moyen
205772.0,Current,1179.0,1449.0,17009.0,Recurring Deposit,2024-05-22,57.0,Individual,Nashik,West,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,Moyen
206603.0,,50221.5058,2542.708056138517,25550.2484,,,27.0,Employee,Pune,North,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,
205016.74943285767,,50221.5058,2542.708056138517,25550.2484,,,48.89939916807888,,Solapur,East,,1000,422443.0,346471.0,56.31,
207347.0,Business,69415.0,457.0,20883.0,Mutual Fund,2023-08-30,68.0,Employee,Solapur,North,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,Moyen
207347.0,Savings,91193.0,4121.0,2179.0,Fixed Deposit,2024-03-27,68.0,Employee,Solapur,North,HDFC Bank,1000,504952.97056277056,266171.6906710311,24.361628477905075,Faible
